analysis_id,8d00nw3peu94x7v
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Large Unstained Cell (LUC) count
gene_accession_id,MGI:1918345
gene_symbol,Kif24
pvalue,0.3642639
parameter_id,IMPC_HEM_039_001
