gene_symbol,Rgs20
pvalue,0.2592552
parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
analysis_id,6n4tw3maxbc6m77
