analysis_id,c24w3o5mh1596rr
parameter_id,IMPC_EYE_009_001
parameter_name,Corneal vascularization
pvalue,0.3821383
mouse_strain,C57BL
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
mouse_life_stage,E9.5
