analysis_id,46e97blm07y0plh
parameter_id,IMPC_IMM_073_001
mouse_strain,C57BL
pvalue,0.1951471
parameter_name,cDCs CD11b Type
mouse_life_stage,E12.5
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
