Analysis_id,0pa34093x223bn0
gene_symbol,Ubxn11
Pvalue,0.7616097
Gene_accession_id,MGI:1914836
Mouse_life_stage,Early adult
Mouse_strain,C57BL
Parameter_name,Periphery average speed
parameter_id,JAX_OFD_013_001
