gene_symbol,Uckl1
parameter_id,MGP_MLN_074_001
parameter_name,Effector CD8+ T cells - % of CD45+
analysis_id,21v1h0ez12ocpoj
mouse_strain,C57BL
gene_accession_id,MGI:1915806
mouse_life_stage,Early adult
pvalue,0.3550786
