parameter_name,Total bilirubin
gene_accession_id,MGI:2674093
pvalue,0.425002
gene_symbol,Psd4
parameter_id,IMPC_CBC_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,gf14971gbr9n8yo
