parameter_id,JAX_ROT_002_001
pvalue,0.7522255
analysis_id,usz48b5iuu358o3
parameter_name,Average duration
gene_symbol,Mms22l
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
mouse_strain,C57BL
