analysis_id,tc01w0n6h08kf65
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
parameter_id,MGP_IMM_081_001
gene_symbol,Snrpb2
mouse_strain,C57BL
pvalue,0.07754317
