parameter_name,Limb morphology
analysis_id,y04wje8vts935kz
gene_symbol,Ivd
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1929242
pvalue,0.367102
parameter_id,IMPC_GEP_084_001
