analysis_id,11d6n5c0rm30ep0
gene_symbol,Dnaaf9
pvalue,0.6503797
gene_accession_id,MGI:1923029
parameter_name,Effector CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_013_001
mouse_strain,C57BL
mouse_life_stage,Early adult
