gene_symbol,Clvs1
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
parameter_name,Red blood cell count
parameter_id,ESLIM_016_001_002
analysis_id,0ilnqe8eqcn0hu8
pvalue,0.7749072
mouse_strain,C57BL
