analysis_id,p9xr635r73pgt1z
mouse_strain,C57BL
parameter_id,IMPC_DXA_009_001
mouse_life_stage,Early adult
parameter_name,Fat/Body weight
gene_symbol,Exd1
pvalue,0.1260857
gene_accession_id,MGI:3045306
