analysis_id,fwfc90qhe9bx0n5
pvalue,0.5003706
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
mouse_strain,C57BL
gene_symbol,Cdin1
parameter_id,JAX_OFD_015_001
parameter_name,Center resting time
