gene_symbol,Cisd2
gene_accession_id,MGI:1914256
pvalue,0.7358671
mouse_strain,C57BL
analysis_id,7691xu5d9my68dx
mouse_life_stage,Early adult
parameter_id,HRWLLA_DXA_007_001
parameter_name,BMC/Body weight
