analysis_id,g652c766631io3u
mouse_life_stage,Early adult
gene_symbol,Rab13
gene_accession_id,MGI:1927232
pvalue,0.518095
parameter_id,IMPC_OFD_013_001
mouse_strain,C57BL
parameter_name,Periphery average speed
