parameter_id,JAXLA_DXA_007_001
mouse_strain,C57BL
pvalue,0.9473647
parameter_name,BMC/Body weight
gene_symbol,Traf6
mouse_life_stage,Early adult
analysis_id,q2h37t758w063ci
gene_accession_id,MGI:108072
