parameter_name,Activity (body position)
mouse_life_stage,E15.5
parameter_id,IMPC_CSD_029_001
gene_symbol,Fgb
mouse_strain,C57BL
gene_accession_id,MGI:99501
analysis_id,h2g8rg3588xmak3
pvalue,0.5258179
