parameter_name,lens
gene_symbol,Ola1
mouse_life_stage,E18.5
analysis_id,620w4x39teftf8x
gene_accession_id,MGI:1914309
mouse_strain,C57BL
pvalue,0.3436289
parameter_id,M-G-P_014_001_009
