gene_symbol,Secisbp2l
pvalue,0.9704528
gene_accession_id,MGI:1917604
parameter_id,IMPC_CBC_015_001
parameter_name,Total cholesterol
analysis_id,0cl65s654p7i3pw
mouse_strain,C57BL
mouse_life_stage,Late adult
