analysis_id,x3yzb333womaz27
gene_accession_id,MGI:1919107
parameter_name,Mean right eye lens density
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Slc17a9
parameter_id,IMPC_EYE_059_001
pvalue,0.3070286
