analysis_id,6p4i679c9qa0t6v
parameter_name,ST
parameter_id,IMPC_ECG_008_001
gene_symbol,Hrnr
pvalue,0.4493725
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3046938
