parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:1345282
analysis_id,73i279dn5q0s72o
mouse_life_stage,Middle aged adult
gene_symbol,Slc30a4
pvalue,0.2670159
mouse_strain,C57BL
