gene_symbol,Bmp7
mouse_life_stage,Early adult
pvalue,0.6101205
analysis_id,6lu687j8nm6jbnk
parameter_id,MGP_IMM_070_001
gene_accession_id,MGI:103302
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
