parameter_id,UCD_OWT_008_001
parameter_name,Liver weight
gene_accession_id,MGI:1345282
mouse_strain,C57BL
analysis_id,3i99i86139fc8ta
mouse_life_stage,Middle aged adult
pvalue,0.4475472
gene_symbol,Slc30a4
