analysis_id,0584j0x819g2agi
parameter_id,IMPC_GEO_064_001
pvalue,0.1654518
gene_accession_id,MGI:1346088
parameter_name,Edema
mouse_life_stage,Early adult
gene_symbol,Cd52
mouse_strain,C57BL
