gene_symbol,Rab13
gene_accession_id,MGI:1927232
parameter_id,IMPC_XRY_002_001
mouse_strain,C57BL
pvalue,0.7495153
parameter_name,Zygomatic bone
mouse_life_stage,Early adult
analysis_id,5m860n5y021912s
