mouse_strain,C3H
analysis_id,e15856ys83r5ova
pvalue,0.9717784
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_life_stage,Early adult
parameter_id,MGP_IMM_007_001
