parameter_name,Monocyte percentage
parameter_id,MGP_PBI_016_001
analysis_id,1918544z1ww617m
gene_symbol,Bcs1l
pvalue,0.9995317
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
mouse_strain,C57BL
