parameter_id,HRWLLA_CSD_008_001
analysis_id,1w3qx0cd924777k
gene_accession_id,MGI:3616086
parameter_name,Coat - color pattern - back
pvalue,0.4363875
mouse_strain,C57BL
gene_symbol,Kcng1
mouse_life_stage,Early adult
