analysis_id,ag7riph1j86z0zf
mouse_life_stage,E12.5
pvalue,0.502379
parameter_id,IMPC_CSD_036_001
gene_accession_id,MGI:88174
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_name,Startle response
