analysis_id,qn159ch4co09x2g
parameter_name,Calcium
gene_symbol,Rab3gap2
pvalue,0.8108855
gene_accession_id,MGI:1916043
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_009_001
