parameter_name,Radius
gene_symbol,Wars2
pvalue,0.1076877
mouse_life_stage,Early adult
analysis_id,c04p7d5oy72ms7t
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
gene_accession_id,MGI:1917810
