parameter_name,Tibia length
mouse_strain,C57BL
gene_symbol,AU040320
analysis_id,0x812x5oycr43q8
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
parameter_id,IMPC_XRY_033_001
pvalue,0.8501624
