analysis_id,t2i7a74t5m7w92k
parameter_name,Mean-cell-volume
gene_accession_id,MGI:2651854
mouse_strain,C57BL
pvalue,0.4602192
parameter_id,M-G-P_016_001_005
mouse_life_stage,Early adult
gene_symbol,Atg4c
