gene_symbol,Tbl1xr1
analysis_id,9eb5kci4y2450u3
gene_accession_id,MGI:2441730
mouse_life_stage,Early adult
parameter_id,MGP_PBI_030_001
mouse_strain,C57BL
pvalue,0.2094038
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
