parameter_name,Heart weight
gene_symbol,Lpgat1
pvalue,0.2254294
parameter_id,IMPC_HWT_008_001
analysis_id,aicx5hbnw6zh752
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
mouse_strain,C57BL
