mouse_strain,C57BL
gene_symbol,Lrrc69
parameter_id,IMPC_ECH_001_001
pvalue,0.7110488
gene_accession_id,MGI:1920564
mouse_life_stage,Early adult
analysis_id,kc9oi450bs225a2
parameter_name,End-Systolic Diameter
