parameter_name,Limb coat/hair presence
pvalue,0.4947499
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:1328306
mouse_strain,C54BL
gene_symbol,Orc2
mouse_life_stage,Early adult
analysis_id,nb7o4x1700qv937
