mouse_strain,B6J
gene_symbol,Nr0b2
pvalue,0.08686255
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_005_001
parameter_name,Mean cell volume
analysis_id,x8m627p84y1a4l4
