parameter_name,NK Subsets (Q2)
analysis_id,v7654d505048de0
parameter_id,IMPC_IMM_055_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cds2
pvalue,0.08826759
gene_accession_id,MGI:1332236
