parameter_name,Stroke Volume
pvalue,0.6709579
mouse_life_stage,Late adult
gene_symbol,Secisbp2l
analysis_id,fsuwqmj08zrr04i
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_id,IMPC_ECH_003_001
