analysis_id,e5qn38w61zarvqa
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_MLN_071_001
gene_symbol,Ola1
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
pvalue,0.8075166
mouse_strain,C57BL
