analysis_id,fgb16025v2jod83
mouse_life_stage,Early adult
gene_symbol,Arnt
gene_accession_id,MGI:88071
pvalue,0.8850749
parameter_id,M-G-P_014_001_001
parameter_name,Eye
mouse_strain,C57BL
