gene_symbol,Ilkap
parameter_name,KLRG1+ mature NK cell percentage
mouse_life_stage,Early adult
analysis_id,r48a5ly8uyw1k97
parameter_id,MGP_PBI_011_001
gene_accession_id,MGI:1914694
mouse_strain,C57BL
pvalue,0.9092825
