analysis_id,41ucs0q99cwht4x
parameter_name,center - resting time
mouse_life_stage,Early adult
pvalue,0.2357137
gene_symbol,Psd4
gene_accession_id,MGI:2674093
mouse_strain,C57BL
parameter_id,M-G-P_007_001_011
