parameter_name,Cornea vascularisation
analysis_id,w1410697r15r754
parameter_id,ESLIM_014_001_008
pvalue,0.3319382
mouse_life_stage,Early adult
gene_symbol,Ntmt2
mouse_strain,C57BL
gene_accession_id,MGI:2685053
