analysis_id,ls68i137e2cq313
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
parameter_id,MGP_IMM_094_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
pvalue,0.09022472
gene_symbol,Bpifa3
