analysis_id,9465ik3437n5045
gene_accession_id,MGI:1914944
mouse_strain,C57BL
parameter_name,Corneal vascularization
parameter_id,IMPC_EYE_009_001
mouse_life_stage,Early adult
pvalue,0.2016714
gene_symbol,Ift74
