analysis_id,38cv96v4851jqd5
parameter_name,Calcium
mouse_life_stage,Late adult
parameter_id,IMPC_CBC_009_001
gene_symbol,Snap23
pvalue,0.3594093
gene_accession_id,MGI:109356
mouse_strain,C57BL
