analysis_id,3o4i4zediq9z28o
gene_symbol,Psd4
pvalue,0.9174352
mouse_strain,C57BL
parameter_id,MGP_IMM_066_001
parameter_name,CD11b-high cDC - % of cDC
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
