parameter_name,Zygomatic bone
parameter_id,IMPC_XRY_002_001
pvalue,0.5482177
mouse_strain,129SV
gene_accession_id,MGI:2684980
analysis_id,jw75lj59739i764
gene_symbol,Mms22l
mouse_life_stage,Early adult
