parameter_name,CD8 CD44+CD62L- T cells
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_032_001
analysis_id,c737wjmlo2d4fkn
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.1076492
