mouse_life_stage,Late adult
gene_symbol,Lpgat1
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
pvalue,0.3085583
mouse_strain,C57BL
gene_accession_id,MGI:2446186
analysis_id,3wmh24913ba6fj3
