parameter_name,HR
mouse_strain,C57BL
gene_symbol,Tubb4b
parameter_id,JAXLA_ECG_002_001
analysis_id,v5k0t9427n1vkl6
pvalue,0.6855522
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
