parameter_name,Response amplitude - S
analysis_id,ef6u25s5453k13y
parameter_id,IMPC_ACS_006_001
mouse_strain,C57BL
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
pvalue,0.9270046
mouse_life_stage,Early adult
