analysis_id,c77imb733u91561
mouse_strain,C57BL
gene_symbol,Stk35
pvalue,0.1306782
mouse_life_stage,Early adult
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:1914583
parameter_name,Glucose response AUC
