parameter_name,Ly6Clow monocyte percentage
pvalue,0.6900055
analysis_id,29ocg9955w9tyu9
mouse_strain,C57BL
parameter_id,MGP_PBI_018_001
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
mouse_life_stage,Early adult
