parameter_name,Prepulse inhibition - PP4
mouse_strain,C57BL
parameter_id,ESLIM_011_001_704
analysis_id,fv3s23cry1cq23b
pvalue,0.05236406
mouse_life_stage,Early adult
gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
