parameter_name,center - resting time
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
gene_symbol,Arpc5l
parameter_id,M-G-P_007_001_011
analysis_id,165us8y65v9x91b
pvalue,0.1214136
mouse_strain,C57BL
