gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
parameter_name,Resting Treg cells - % of CD45+
pvalue,0.1242999
mouse_strain,C57BL
analysis_id,ft21d496y7g63y9
parameter_id,MGP_IMM_078_001
mouse_life_stage,Early adult
