gene_symbol,Sgip1
pvalue,0.7865354
mouse_strain,C57BL
parameter_name,Bone Mineral Content
gene_accession_id,MGI:1920344
parameter_id,ESLIM_005_001_005
mouse_life_stage,Early adult
analysis_id,fxg9050k74b251g
