gene_symbol,Trp53i11
parameter_id,IMPC_ECG_005_001
analysis_id,5e16m2y91w3d408
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,PQ
pvalue,0.503402
gene_accession_id,MGI:2670995
