analysis_id,630w1967ijr8466
parameter_id,M-G-P_016_001_006
gene_accession_id,MGI:1927379
parameter_name,Mean-corpuscular-haemoglobin
gene_symbol,Rhbg
pvalue,1.371411
mouse_life_stage,Early adult
mouse_strain,C57BL
